sentence 1,sentence 2,Label
comfortable running shoes,NYKD Everyday Stylish Running Sports Jacket with Pockets for Women,0
Looking for a red cotton shirt,Cotton Regular Fit Solid Red Shirt,1
collared shirt and short sleeves,Short Sleeves Camp Collared Shirt for Boys ,1
Searching for a full sleeve men shirt,Men's Cotton Blend Checkered Shirts Regular Fit Full Sleeves Shirt for Men,1
Want a blue denim jacket,Lorate Solid Mens Fashion Full Sleeves Latest Jacket for Men With Button Closure Long Sleeve Casual Torn Lycra Denim Jacket Blue,1
Denim jacket for my girlfriend,FUNDAY FASHION Full Sleeve Blue Solid Womens Denim Jacket,1
Looking for a stylish shoes for my father,Men's Loafer Shoes,1
men shoes,Shoes for Crews Everlight Men's Non Slip Breathable Lightweight Lace-UpWater Resistant Work Shoes ,1
sandal,Beslip Womens Mens Garden Clogs Shoes with Arch Support Unisex Comfort Slip-on Sandals,1
search for anti slip shoes,Mens Shower Shoes With Holes Dry Quickly Bath Slippers Womens Non Slip Indoor Home Bedroom Pool Spa Guest College Dorm,1
shoes that dry fast,YALOX Water Shoes Men's Women's Swim Shoes Outdoor Beach Barefoot Quick Dry Aqua Pool Socks Swimming Yoga Surfing Exercise,1
high heels for women,Modatop Platform Heels for Women Platform Sandals Womens Chunky Heel Open Toe Pumps Ankle Strap Womens Wedding Party Pumps Shoes,1
wedding shoe,MUCCCUTE Women's Rhinestone Cowboy Boots Cowgirl Western Boots Sparkly Pointed Toe Side Zipper Knee High Mid Heel Wedding Shoes,1
men slim jeans,Urbano Fashion Mens Slim Fit Jeans,1
show me ankle size women jeans,PAIGE Women's Mayslie Straight Ankle Jeans,1
cotton jeans men,ENNIE FOSTE Men's Poly Cotton Washed Lighe Blue Jeans,1
Looking for a men black jeans,DENNIE FOSTE Men Regular Mid Rise Black Jeans,1
hood jacket,LZLRUN Reflective Vest Jacket Casual Hiphop Windbreaker Night Sporting Coat Hooded Fluorescent Clothing,1
exercise women jacket,KORYAK by Zeel Women's Winter Jackets Sport Wear for Trekking Yoga Workout  Jogging  Thermal Hybrid Jacket Cycling Jackets for Women Regular Fit  Blue ,1
flip flop crocs,Crocs Unisex-Adult Crocband Flip Flop  Slip-on Sandals  Shower Shoes,1
men steelbelt watch,Fossil Men's Nate Stainless Steel Quartz Chronograph Watch,1
show me track pant for boys,Pepe Jeans Men's Skinny Track Pants,1
hoddie t shirt for men and in cotton,KLIEGOU Men's Hipster Hip Hop Hoodie Cotton TShirt,1
red shirt men,cotton Regular Fit Executive Shirt Black,0
black men tshirt,UDNAG Unisex Round Neck Graphic 'Lawyer Lawyer' Polyester T-Shirt White,0
